Catchment,Runoff,Pr,A,S,L,P,di,Rs,F,Rr
1,441.452,1126.998,5.6576,50,3.808,12.688,1.456,0.38,3.4816,63.2460
2,371.348,1119.886,6.4768,7,4.080,12.240,1.968,0.48,6.0672,10.4775
3,393.192,1047.750,14.4128,19,4.976,18.576,3.376,0.57,5.9136,14.6685
4,373.888,1155.700,3.9680,6,2.944,8.496,1.504,0.49,9.9072,12.9540
5,466.598,1170.686,13.1840,16,6.624,18.160,2.608,0.39,8.4480,12.9540
6,432.054,1247.648,5.4784,26,3.072,9.424,2.256,0.71,4.7872,43.8150
7,462.280,1118.362,13.6704,7,7.568,20.144,2.080,0.27,2.4064,8.3820
8,481.330,1237.234,19.1232,11,6.784,19.728,3.760,0.52,3.0720,13.7160
9,354.076,1128.522,5.3760,5,3.200,10.896,1.904,0.53,12.1856,7.6200
10,473.456,1212.088,9.9584,18,3.360,15.792,2.640,0.60,7.8848,21.9075
11,438.150,1228.852,1.7152,21,1.840,6.288,0.992,0.48,7.6544,67.0560
12,443.992,1244.600,2.1760,23,2.032,6.064,1.328,0.61,9.0368,57.1500
13,334.264,1194.562,4.4032,5,3.088,8.304,1.584,0.52,5.9648,7.4295
